license,FOG,ARI,CLI,mean
FSFAP,20.66,21.9,14.69,19.08333333
Fair,22.57,23.6,14.46,20.21
WTFPL,34.13,38.5,11.8,28.14333333
0BSD,47.66,56.9,13.48,39.34666667
NTP,46.4,57.6,17.89,40.63
ISC,50.88,61.7,13.83,42.13666667
Zlib,59.63,72.8,13.25,48.56
EFL-2.0,61.22,74.9,14.53,50.21666667
MirOS,63.28,74.4,13.19,50.29
MIT-0,62.88,75.9,13.66,50.81333333
BSD-1-Clause,70.84,86.7,15.28,57.60666667
MIT,74.06,90.6,14.06,59.57333333
Unlicense,83.88,101.4,12.79,66.02333333
BSD-2-Clause,82.43,101.6,15.8,66.61
BSL-1.0,88.57,108.9,14.24,70.57
BSD-3-Clause,94.4,116.7,15.75,75.61666667
BSD-4-Clause,102.04,126.1,16.22,81.45333333
BSD-3-Clause-Clear,103.98,129.1,16.16,83.08
NCSA,104.96,130.7,16.16,83.94
UPL-1.0,122.36,150.3,13.32,95.32666667
Imlib2,131.47,162.2,14.19,102.62
Ruby,137.04,170,13.95,106.9966667
AAL,154.11,191.3,16.1,120.5033333
BSD-2-Clause-Patent,154.8,193.7,16.85,121.7833333
MS-PL,164.57,206.5,14.65,128.5733333
SimPL-2.0,175.07,216.6,11.23,134.3
MS-RL,191.29,239.6,14.24,148.3766667
MulanPSL-2.0,307.08,384.2,15.29,235.5233333
OGTSL,336.24,418.7,14.36,256.4333333
LiLiQ-P-1.1,399.66,499.8,14.36,304.6066667
ClArtistic,411.42,513.6,13.66,312.8933333
CC0-1.0,431.13,537.4,14.82,327.7833333
LGPL-3.0-only,496.1,619,12.27,375.79
LiLiQ-Rplus-1.1,505.81,632.7,14.19,384.2333333
LiLiQ-R-1.1,524.94,656.8,14.24,398.66
MulanPubL-2.0,538.65,674.5,15.87,409.6733333
Artistic-2.0,550.32,688.3,14.24,417.62
Apache-2.0,635.75,794.5,14.94,481.73
OSL-3.0,657.99,821.4,13.84,497.7433333
AFL-3.0,658.42,822,13.84,498.0866667
UCL-1.0,670.75,837.6,14.01,507.4533333
EPL-1.0,681.58,853.1,15.98,516.8866667
ECL-2.0,684.44,855.6,15.11,518.3833333
NPOSL-3.0,747.31,933.6,13.9,564.9366667
EUPL-1.1,845.61,1056.2,13.66,638.49
EPL-2.0,854.3,1068.9,15.58,646.26
EUPL-1.2,898.05,1121.2,13.03,677.4266667
MPL-2.0,940.42,1175.7,13.95,710.0233333
CAL-1.0,1010.84,1263.5,14.19,762.8433333
CDDL-1.0,1018.2,1273.7,14.53,768.81
CC-BY-4.0,1031.77,1290.5,15.11,779.1266667
CC-BY-SA-4.0,1109.21,1387.6,15.17,837.3266667
GPL-2.0-only,1187.78,1483.4,12.16,894.4466667
CECILL-2.0,1328.61,1660.4,13.95,1000.986667
CECILL-B,1329.58,1661.7,14.3,1001.86
CECILL-C,1363.42,1704.1,14.19,1027.236667
CECILL-2.1,1372.19,1715,14.01,1033.733333
NOSL,1522.77,1904.2,13.78,1146.916667
LGPL-2.1-only,1748.66,2184.8,12.1,1315.186667
CPAL-1.0,1765,2207.4,14.01,1328.803333
RPL-1.5,1983.01,2479.6,14.59,1492.4
AGPL-3.0-only,2216.48,2770.2,13.08,1666.586667
GPL-3.0-only,2260.45,2825.1,12.97,1699.506667
APL-1.0,2851.33,3566.2,14.3,2143.943333
