License and version,FSF approval,GPL (v3) compatibility,OSI approval,Debian approval,Fedora approval
Academic Free License,Yes,No,Yes,No,Yes
Affero General Public License 3.0,Yes,Yes,Yes,Yes,Yes
Apache License 1.x,Yes,No,Yes,Yes,Yes
Apache License 2.0,Yes,GPLv3 only[41],Yes,Yes,Yes
Apple Public Source License 1.x,No[42],No,Yes,No,No
Apple Public Source License 2.0,Yes,No,Yes,No,Yes
Artistic License 1.0,No[note 1],No,Yes,Yes,No
Artistic License 2.0,Yes,Yes,Yes,Yes,Yes
Beerware License,"see ""informal license"" section[43]","see ""informal license"" section[43]",No,No,Yes[44]
Original BSD license,Yes,No,No[45],Yes,Yes
Modified BSD license,Yes,Yes,Yes,Yes,Yes
Zero-Clause BSD License,?,?,Yes[46],?,?
Boost Software License,Yes,Yes,Yes,Yes,Yes
CeCILL,Yes,Yes,Yes,Yes,Yes
Common Development and Distribution License,Yes,GPLv3 (GPLv2 disputed)[47][48][49][50][51][52],Yes,Yes,Yes
Common Public License,Yes,No,Yes,Yes,Yes
Creative Commons Zero,Yes[53],Yes[53],not approved and not rejected[54],Partial[55][56],Yes[57]
Creative Commons BY-SA 4.0,Yes,GPLv3[58],?,Yes,?
Cryptix General License,Yes,Yes,Yes,Yes,Yes
Eclipse Public License,Yes,No,Yes,Yes,Yes
Educational Community License,Yes,Yes[59],Yes,No,Yes
Eiffel Forum License 2,Yes,Yes,Yes,Yes,Yes
European Union Public Licence,Yes,Yes[19],Yes,Yes,?
GNU Affero General Public License,Yes,Yes[21][60],Yes,Yes,Yes
GNU General Public License v2,Yes,No[note 2][61],Yes,Yes,Yes
GNU General Public License v3,Yes,Yes[note 3][61],Yes,Yes,Yes
GNU Lesser General Public License,Yes,Yes,Yes,Yes,Yes
GNU Free Documentation License,Yes,No[62],Yes[63],No[64],No
IBM Public License,Yes,No,Yes,Yes,Yes
Intel Open Source License,Yes,Yes,Yes,No,No
ISC license,Yes[65],Yes,Yes,Yes,Yes
LaTeX Project Public License,Yes,No,Yes,Yes,Yes
Microsoft Public License,Yes,No,Yes,No,Yes
Microsoft Reciprocal License,Yes,No,Yes,No,Yes
MIT license / X11 license,Yes,Yes,Yes,Yes,Yes
Mozilla Public License 1.1,Yes,No,Yes,Yes,Yes
Mozilla Public License 2.0,Yes,Yes[note 4][66],Yes,Yes,Yes
NASA Open Source Agreement,No,No,Yes,?,No
Netscape Public License,Yes,No,No,No,Yes
Open Software License,Yes,No,Yes,No,Yes
OpenSSL license,Yes,No,No,Yes,Yes
PHP License,Yes,No,Yes,Yes,Yes
Python Software Foundation License 2.0.1; 2.1.1 and newer,Yes,Yes,Yes,Yes,Yes
Q Public License,Yes,No,Yes,No,Yes
Reciprocal Public License 1.5,No,No,Yes,No,No
Sleepycat License,Yes,Yes,Yes,Yes,Yes
Sun Industry Standards Source License,Yes,No,Yes,No,Yes
Sun Public License,Yes,No,Yes,No,Yes
Sybase Open Watcom Public License,No,No,Yes,No,No
Unlicense,Yes[67],Yes[53],while considered free not recommended[68],?,Yes[57]
W3C Software Notice and License,Yes,Yes,Yes,Yes,Yes
Do What The Fuck You Want To Public License (WTFPL),Yes[note 5],Yes,No[69],Yes,Yes
XFree86 1.1 License,Yes,Yes[70],No,No,No
zlib/libpng license,Yes,Yes,Yes,Yes,Yes
Zope Public License 1.0,Yes,No,No,No,Yes
Zope Public License 2.0,Yes,Yes,Yes,No,Yes
